2012-03-24 15:05:09,077 INFO   [main] c.e.j.c.e.EMuleKadNet[EMuleKadNet.java:173] EMuleKadNet created.
2012-03-24 15:05:09,109 INFO   [main] c.e.j.c.e.EMuleKadNet[EMuleKadNet.java:174] local node:key:41C478BB D9E2C3CB 1CDF86B2 586C0597 netc-iptv/192.168.10.205, udp port:10000, tcp port:10086
2012-03-24 15:05:09,171 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=989C3C15 8B2DBA66 09DFF4D0 377835FD 
2012-03-24 15:05:23,171 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=989C3C15 8B2DBA66 09DFF4D0 377835FD , used 14 seconds.
2012-03-24 15:05:23,171 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=21,knownClosestNodes.size()=10
2012-03-24 15:05:23,171 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=3049BA4A FF305478 942E8633 22E2487B 
2012-03-24 15:05:30,749 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=3049BA4A FF305478 942E8633 22E2487B , used 7 seconds.
2012-03-24 15:05:30,749 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=16,knownClosestNodes.size()=10
2012-03-24 15:05:30,749 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=CBA4F549 D69A97E9 8B9C6E98 A1F1E88F 
2012-03-24 15:05:46,515 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=CBA4F549 D69A97E9 8B9C6E98 A1F1E88F , used 15 seconds.
2012-03-24 15:05:46,515 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=22,knownClosestNodes.size()=10
2012-03-24 15:05:46,515 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=135584B2 BC9051C2 A122C90D 95E5CF4E 
2012-03-24 15:05:54,780 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=135584B2 BC9051C2 A122C90D 95E5CF4E , used 8 seconds.
2012-03-24 15:05:54,780 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=16,knownClosestNodes.size()=10
2012-03-24 15:05:54,780 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=87F58789 28D8BB67 F8506CF6 94E4908A 
2012-03-24 15:06:06,812 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=87F58789 28D8BB67 F8506CF6 94E4908A , used 12 seconds.
2012-03-24 15:06:06,812 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=10,knownClosestNodes.size()=10
2012-03-24 15:06:06,812 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=0334C813 155E756F 27A10703 67C22CFA 
2012-03-24 15:06:25,546 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=0334C813 155E756F 27A10703 67C22CFA , used 18 seconds.
2012-03-24 15:06:25,546 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=26,knownClosestNodes.size()=10
2012-03-24 15:06:25,546 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=FCF6A50F 7B4AA857 14E2D108 47713ADA 
2012-03-24 15:06:37,546 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:194] finished find node,key=FCF6A50F 7B4AA857 14E2D108 47713ADA , used 12 seconds.
2012-03-24 15:06:37,546 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:196] nrQueried=10,knownClosestNodes.size()=10
2012-03-24 15:06:37,546 INFO   [main] c.e.j.c.e.o.EMuleFindNodeOperation[EMuleFindNodeOperation.java:143] find node,request type=11,key=4F298762 5752C0F0 71D873D1 41351479 
